Film,Year,URL Encoded name,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator
*batteries not included,1987,%2Abatteries%20not%20included,Matthew Robbins,http://imdb.com/name/nm0730422/,E. 5th St.<br>East Village<br>Manhattan,40.7224452961828,-73.9786505699157,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0092494/,N/A
12 Angry Men,1957,12%20Angry%20Men,Sidney Lumet,http://imdb.com/name/nm0001486/,New York County Courthouse<br>40 Foley Square<br>Lower Manhattan,40.7137000000000,-74.0079000000000,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0050083/,"New York County
Courthouse on Foley Square."
13 Going on 30,2004,13%20Going%20on%2030,Gary Winick,http://imdb.com/name/nm0935095/,W. 47th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.7592204876521,-73.9846211671829,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0337563/,"47th St. and 7th Ave. Times Square
Manhattan"
15 Minutes,2001,15%20Minutes,John Herzfeld,http://imdb.com/name/nm0381273/,E. 60-66th St. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7661000000000,-73.9696000000000,Manhattan,Upper East Side,Chases,Film,http://www.imdb.com/title/tt0179626/,60-66th and Madison
25th Hour,2002,25th%20Hour,Spike Lee,http://www.imdb.com/name/nm0000490/,World Trade Center<br>Lower Manhattan,40.7117926273691,-74.0123283863067,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0307901/,World Trade Center
25th Hour,2002,25th%20Hour,Spike Lee,http://www.imdb.com/name/nm0000490/,Carl Schurz Park<br>Upper East Side<br>Manhattan,40.7750655922650,-73.9431273937225,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0307901/,Carl Schurz Park btwn 84th and 85th and promenade
A Perfect Murder,1998,A%20Perfect%20Murder,Andrew Davis,http://imdb.com/name/nm0001112/,Long Island City,40.74607025,-73.95038009,Queens,Queens,N/A,Film,http://www.imdb.com/title/tt0120787/,Long Island City
A Thousand Clowns,1965,A%20Thousand%20Clowns,Fred Coe,http://imdb.com/name/nm0168641/,Statue of Liberty<br>Liberty Island<br>New York Harbor,40.6895873134383,-74.0437960624694,Manhattan,New York Harbor,N/A,Film,http://www.imdb.com/title/tt0059798/,"Statue of Liberty, Liberty Island, New York Harbor"
Across the Sea of Time,1997,Across%20the%20Sea%20of%20Time,Stephen Low,http://imdb.com/name/nm0522844/,New York Harbor,40.6989909067436,-74.0384960174560,Manhattan,New York Harbor,N/A,Film,http://imdb.com/title/tt0112286/,
After Hours,1985,After%20Hours,Martin Scorsese,http://imdb.com/name/nm0000217/,Mercer and Grand<br>SoHo<br>Manhattan,40.7213000000000,-74.0015000000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0088680/,SoHo
Alice,1990,Alice,Woody Allen,http://www.imdb.com/name/nm0000095/,E. 95th St. off Madison Ave.<br>Upper East Side<br>Manhattan,40.7866000000000,-73.9547000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0099012/,95th Street off Madison Avenue
American Psycho,2000,American%20Psycho,Mary Harron,http://www.imdb.com/name/nm0366004/,Chinatown<br>Manhattan,40.7162165380157,-73.9980804920196,Manhattan,Chinatown,N/A,Film,http://www.imdb.com/title/tt0144084/,Chinatown
An Unmarried Woman,1978,An%20Unmarried%20Woman,Paul Mazursky,http://imdb.com/name/nm0005196/,Mercer St. between Spring and Broome<br>SoHo<br>Manhattan,40.7225591322924,-74.0002906322479,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0078444/,SoHo
Annie Hall,1977,Annie%20Hall,Woody Allen,http://www.imdb.com/name/nm0000095/,Coney Island<br>Brooklyn,40.5736092162742,-73.9759683609008,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0075686/,Coney Island boardwalk
Annie Hall,1977,Annie%20Hall,Woody Allen,http://www.imdb.com/name/nm0000095/,Pier 11<br>Manhattan,40.7042046109406,-74.0060251951217,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0075686/,Pier 11
Annie Hall,1977,Annie%20Hall,Woody Allen,http://www.imdb.com/name/nm0000095/,Foot of 59th St. Bridge<br>Upper East Side<br>Manhattan,40.7578064331838,-73.9596283435821,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0075686/,foot of 58th street bridge
Annie Hall,1977,Annie%20Hall,Woody Allen,http://www.imdb.com/name/nm0000095/,E. 68th St. between Park Ave. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7689067645632,-73.9666020870208,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0075686/,68th Street bet Park and Madison Aves
Annie Hall,1977,Annie%20Hall,Woody Allen,http://www.imdb.com/name/nm0000095/,W. 95th St.<br>Upper West Side<br>Manhattan,40.7916379656320,-73.9665377140045,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0075686/,West 95th Street
Arthur,1981,Arthur,Steve Gordon,http://imdb.com/name/nm0330619/,Bergdorf's at 754 Fifth Ave.<br>Midtown<br>Manhattan,40.7633340000000,-73.9738910000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0082031/,"in front of Bergorf's, 5th Ave at 58th street"
As Good As It Gets,1997,As%20Good%20As%20It%20Gets,James L. Brooks,http://imdb.com/name/nm0000985/,Sixth Ave. between 11th St. and 12th St.<br>West Village<br>Manhattan,40.7354050994831,-73.9983165264129,Manhattan,West Village,N/A,Film,http://imdb.com/title/tt0119822/,Sixth Avenue btwn 11th ansd 12th St east side of 6th Ave
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,Gene Saks,http://imdb.com/name/nm0757256/,Washington Square Park<br>West Village<br>Manhattan,40.7307222999436,-73.9965140819549,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0061385/,Washington Square Park
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,Gene Saks,http://imdb.com/name/nm0757256/,Greenwich St. and Christopher St.<br>Greenwich Village<br>Manhattan,40.7331125200550,-74.0074145793914,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0061385/,Greenwhich Street near Christopher Street
Basquiat,1996,Basquiat,Julian Schnabel,http://imdb.com/name/nm0773603/,Lower East Side<br>Manhattan,40.7181844332103,-73.9888536930084,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0115632/,[Ludlow below Delancy ] Lower East Side
Bed of Roses,1996,Bed%20of%20Roses,Michael Goldenberg,http://imdb.com/name/nm0325533/,Chelsea,40.74324155,-74.00196433,Manhattan,Chelsea,Rooftops,Film,http://www.imdb.com/title/tt0115644/,chelsea (midtown)
BIG,1988,BIG,Penny Marshall,http://imdb.com/name/nm0001508/,F.A.O. Schwarz at 767 Fifth Ave.<br>Midtown<br>Manhattan,40.7640530000000,-73.9729780000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0094737/,F.A.O. Schwarz - 58th and Fifth Avenue
Blue in the Face,1995,Blue%20in%20the%20Face,"Paul Auster,Wayne Wang","http://imdb.com/name/nm0000808/,http://imdb.com/name/nm0911061/",Prospect Park West and 16th St.<br>Windsor Terrace<br>Brooklyn,40.6574944777108,-73.9740693569183,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0112541/,Prospect Park West and 16th Street in Windsor Terrace
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,Blake Edwards,http://imdb.com/name/nm0001175/,Tiffany & Co. at 727 Fifth Ave.<br>Midtown<br>Manhattan,40.7625100000000,-73.9741420000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,Blake Edwards,http://imdb.com/name/nm0001175/,E. 71st St.<br>Upper East Side<br>Manhattan,40.7713606139352,-73.9664304256439,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,Blake Edwards,http://imdb.com/name/nm0001175/,Central Park Mall<br>Manhattan,40.7732131289256,-73.9712798595428,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Broadway Danny Rose,1984,Broadway%20Danny%20Rose,Woody Allen,http://www.imdb.com/name/nm0000095/,Carnegie Deli at 854 Seventh Ave.<br>Midtown<br>Manhattan,40.7640730000000,-73.9812880000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0087003/,Carnegie Deli - 7th Avenue at 55th Street
Cagney & Lacey,1982-1988,Cagney%20%26%20Lacey,"Barbara Avedon,Barbara Corday,(more)","http://imdb.com/name/nm0042853/,http://imdb.com/name/nm0179400/,http://imdb.com/title/tt0083395/fullcredits#writers",Howard Beach<br>Queens,40.6655354110279,-73.8412570953369,Queens,Queens,N/A,TV,http://imdb.com/title/tt0083395/,Howard Beach 
Center Stage,2000,Center%20Stage,Nicholas Hytner,http://imdb.com/name/nm0405336/,American Ballet Theater<br>890 Broadway<br>Manhattan,40.7386410000000,-73.9897740000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0210616/,American Ballet Theater: 890 Broadway
Chasing Amy,1997,Chasing%20Amy,Kevin Smith,http://imdb.com/name/nm0003620/,269 E. Houston St.<br>Lower East Side<br>Manhattan,40.7215160000000,-73.9846160000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0118842/,269 East Houston Street
Chelsea Walls,2001,Chelsea%20Walls,Ethan Hawke,http://imdb.com/name/nm0000160/,Chelsea Hotel on W. 23rd St.<br>Chelsea<br>Manhattan,40.7442870000000,-73.9964970000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0226935/,"Chelsea Hotel, 23rd street"
Clockers,1995,Clockers,Spike Lee,http://www.imdb.com/name/nm0000490/,Gowanus Houses<br>Brooklyn,40.6841527980685,-73.9880490303039,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0112688/,"Gowanus Houses: Wycoff, Douglass, Bond and Hoyt streets"
Coogan's Bluff,1968,Coogan%27s%20Bluff,Don Siegel,http://imdb.com/name/nm0796923/,Fort Tryon Park<br>Manhattan,40.8594603138554,-73.9340829849243,Manhattan,Fort George,N/A,Film,http://www.imdb.com/title/tt0062824/,Fort Tyron Park
Cotton Comes to Harlem,1970,Cotton%20Comes%20to%20Harlem,Ossie Davis,http://imdb.com/name/nm0001115/,Harlem,40.80650084,-73.93928647,Manhattan,Harlem,N/A,Film,http://imdb.com/title/tt0065579/,Harlem
Crocodile Dundee,1986,Crocodile%20Dundee,Peter Faiman,http://imdb.com/name/nm0265363/,Fifth Ave. and 53rd St.<br>Midtown<br>Manhattan,40.7604000000000,-73.9758000000000,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0090555/,Fifth Avenue
Crocodile Dundee II,1988,Crocodile%20Dundee%20II,John Cornell,http://imdb.com/name/nm0180259/,"Chambers St. near Centre St.<br>Lower Manhattan
",40.7134520000000,-74.0043730000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0092493/,Chambers St bet Elk St and Centre St
Crooklyn,1994,Crooklyn,Spike Lee,http://www.imdb.com/name/nm0000490/,Stuyvesant Ave. and Macon St.<br>Brooklyn,40.6831114032117,-73.9320552349090,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0109504/,Brooklyn - streets TK
Crossing Delancey,1988,Crossing%20Delancey,Joan Micklin Silver,http://imdb.com/name/nm0798717/,35 Essex St.<br>Lower East Side<br>Manhattan,40.7160500000000,-73.9897490000000,Manhattan,Lower East Side,New York Moments,Film,http://www.imdb.com/title/tt0094921/,35 Essex Street
Cruising,1980,Cruising,William Friedkin,http://imdb.com/name/nm0001243/,West Village<br>Manhattan,40.7289824258668,-74.0008378028869,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0080569/,Central Park
Cruising,1980,Cruising,William Friedkin,http://imdb.com/name/nm0001243/,Central Park<br>Manhattan,40.7792090732745,-73.9711833000183,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0080569/,Central Park
Death to Smoochy,2002,Death%20to%20Smoochy,Danny DeVito,http://imdb.com/name/nm0000362/,Seventh Ave. and 48th St.<br>Times Square<br>Manhattan,40.7598000000000,-73.9842000000000,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0266452/,Times Square
Death Wish,1974,Death%20Wish,Michael Winner,http://imdb.com/name/nm0935382/,Subway Station near Court St.<br>Brooklyn,40.6938000000000,-73.9904000000000,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0071402/,Subway near Court St.
Desperately Seeking Susan,1985,Desperately%20Seeking%20Susan,Susan Seidelman,http://imdb.com/name/nm0782384/,St. Marks Place<br>East Village<br>Manhattan,40.7291710000000,-73.9893900000000,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0089017/,St. Marks Place
Desperately Seeking Susan,1985,Desperately%20Seeking%20Susan,Susan Seidelman,http://imdb.com/name/nm0782384/,George Washington Bus Terminal<br>Manhattan,40.8492840000000,-73.9369660000000,Manhattan,Fort George,N/A,Film,http://www.imdb.com/title/tt0089017/,George Washington Bus Terminal (uptown Port Authority)
Die Hard: With a Vengeance,1995,Die%20Hard%3A%20With%20a%20Vengeance,John McTiernan,http://imdb.com/name/nm0001532/,Central Park South<br>Manhattan,40.7670541295091,-73.9789938926696,Manhattan,Central Park,Chases,Film,http://www.imdb.com/title/tt0112864/,CPS btwn 6th and 7th Ave
Do the Right Thing,1989,Do%20the%20Right%20Thing,Spike Lee,http://www.imdb.com/name/nm0000490/,Stuyvesant Ave.<br>Bedford-Stuyvesant<br>Brooklyn,40.6893107170727,-73.9332890510559,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0097216/,"Stuyvesant Avenue
Bedford-Stuyvesant
Brooklyn"
Dog Day Afternoon,1972,Dog%20Day%20Afternoon,Sidney Lumet,http://imdb.com/name/nm0001486/,Prospect Park South and 16th St.<br>Brooklyn,40.6572503046534,-73.9742195606231,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0072890/,Park Slope
Downtown 81 / New York Beat Movie,1981,Downtown%2081%20%2F%20New%20York%20Beat%20Movie,Edo Bertoglio,http://imdb.com/name/nm0078166/,The Empire State Building<br>Midtown<br>Manhattan,40.7483461227418,-73.9848840236663,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0208993/,"The Empire State building, 34th St and 5th Avenue"
Downtown 81 / New York Beat Movie,1981,Downtown%2081%20%2F%20New%20York%20Beat%20Movie,Edo Bertoglio,http://imdb.com/name/nm0078166/,Guggenheim Museum<br>Upper East Side<br>Manhattan,40.7829720000000,-73.9593760000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0208993/,"Guggenheim Musem, 88th St and 5th Avenue"
Eternal Sunshine of the Spotless Mind,2004,Eternal%20Sunshine%20of%20the%20Spotless%20Mind,Michel Gondry,http://imdb.com/name/nm0327273/,Orchard St. and Rivington St.<br>Lower East Side<br>Manhattan,40.7203000000000,-73.9891000000000,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0338013/,Orchard Street
Fame,1980,Fame,Alan Parker,http://imdb.com/name/nm0000570/,High School of the Performing Arts<br>120 W. 46th St.<br>Manhattan,40.7575660000000,-73.9830470000000,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0080716/,46th street bet 6th ave and broadway
Fame,1980,Fame,Alan Parker,http://imdb.com/name/nm0000570/,W. 59th St. and Tenth Ave.<br>Upper West Side<br>Manhattan,40.7704000000000,-73.9876000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0080716/,59th Street and 10th Avenue
Ferry Tales,2003,Ferry%20Tales,Katja Esson,http://imdb.com/name/nm1534515/,St. George Station<br>Staten Island,40.6445683555248,-74.0727210044860,Staten Island,Staten Island,N/A,Film,http://www.imdb.com/title/tt0363607/,Staten Island Ferry Terminal St. George
Force of Evil,1948,Force%20of%20Evil,Abraham Polonsky,http://imdb.com/name/nm0689796/,George Washington Bridge<br>Manhattan,40.8493652358538,-73.9424729347229,Manhattan,Washington Heights,N/A,Film,http://imdb.com/title/tt0040366/,near the George Washington Bridge
Fort Apache the Bronx,1981,Fort%20Apache%20the%20Bronx,Daniel Petrie,http://imdb.com/name/nm0677951/,A South Bronx rooftop<br>The Bronx,40.8174468845588,-73.9088487625122,The Bronx,The Bronx,Rooftops,Film,http://imdb.com/title/tt0082402/,South Bronx rooftop
Ghostbusters,1984,Ghostbusters,Ivan Reitman,http://imdb.com/name/nm0718645/,Columbus Circle<br>Upper West Side<br>Manhattan,40.7681267139935,-73.9819550514221,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0087332/,Columbus Circle
Ghostbusters,1984,Ghostbusters,Ivan Reitman,http://imdb.com/name/nm0718645/,W. 66th St. and Central Park West<br>Upper West Side<br>Manhattan,40.7724000000000,-73.9787000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0087332/,66th Street and Central Park West
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,World Trade Center<br>Lower Manhattan,40.7122643083124,-74.0112394094467,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0070121/,Roof of WTC
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Times Square<br>Manhattan,40.7593180075412,-73.9848464727401,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0070121/,"Accutron Watch Sign, Times Square"
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center<br>Upper West Side<br>Manhattan,40.7723031280163,-73.9833766222000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,Lincoln Center - Columbus Avenue & 61st Street
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.7733512529741,-73.9836877584457,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,"Empire Diner, Tenth Ave at 22nd Street"
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Bethesda Fountain<br>Central Park<br>Manhattan,40.7743668621601,-73.9707863330841,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070121/,"Betheda Fountain, Central Park"
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Ramble<br>Central Park<br>Manhattan,40.7764630304290,-73.9709794521331,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070121/,"Ramble, Central Park"
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Under Triboro Bridge<br>Randalls Island,40.7845708415303,-73.9294481277465,Manhattan,Randall's Island,N/A,Film,http://www.imdb.com/title/tt0070121/,"Under Triboro Bridge, Randalls Island"
Godspell,1973,Godspell,David Greene,http://imdb.com/name/nm0338719/,Soldiers and Sailor's Monument<br>Riverside Park (at 89th St.)<br>Manhattan,40.7923040236013,-73.9787739515304,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,"Soldiers and Sailor's Monument, 89th street Riverside Park"
Godzilla,1988,Godzilla,Roland Emmerich,http://imdb.com/name/nm0000386/,Madison Square Garden<br>Midtown<br>Manhattan,40.7503455788795,-73.9914983510971,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0120685/,Madison Square Garden
Goodfellas,1990,Goodfellas,Martin Scorsese,http://imdb.com/name/nm0000217/,24-13 32nd St.<br>Astoria<br>Queens,40.7714824915087,-73.9152163267135,Queens,Queens,N/A,Film,http://imdb.com/title/tt0099685/,Queens
Green Card,1990,Green%20Card,Peter Weir,http://imdb.com/name/nm0001837/,W. 76th St & Columbus<br>Upper West Side<br>Manhattan,40.7800000000000,-73.9769000000000,Manhattan,Upper West Side,Rooftops,Film,http://www.imdb.com/title/tt0099699/,West 76th Street
Greetings,1968,Greetings,Brian De Palma,http://imdb.com/name/nm0000361/,39 Whitehall St.<br>Lower Manhattan,40.7029510000000,-74.0127770000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0063036/,39 Whitehall Street
Hair,1979,Hair,Milos Forman,http://imdb.com/name/nm0001232/,Sheep's Meadow<br>Central Park<br>Manhattan,40.7717993721535,-73.9748847484588,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0079261/,Central Park
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,Woody Allen,http://www.imdb.com/name/nm0000095/,Spring St. and Green St.<br>SoHo<br>Manhattan,40.7238000000000,-74.0004000000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0091167/,SoHo
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,Woody Allen,http://www.imdb.com/name/nm0000095/,W. 95th St. and West End Ave.<br>Upper West Side<br>Manhattan,40.7946000000000,-73.9737000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0091167/,95th Street and West End Avenue
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,Woody Allen,http://www.imdb.com/name/nm0000095/,Metro Theatre (2626 Broadway)<br>Upper West Side<br>Manhattan,40.7967660000000,-73.9699470000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0091167/,"Metro Theatre, 101st and Broadway"
Heights,2005,Heights,Chris Terrio,http://imdb.com/name/nm0006516/,Municipal Building<br>1 Centre St.<br>Lower Manhattan,40.7130206173333,-74.0033751726150,Manhattan,Lower Manhattan,Rooftops,Film,http://imdb.com/title/tt0382073/,Municipal Building
Hitch,2005,Hitch,Andy Tennant,http://imdb.com/name/nm0855035/,Spring St. and Greene St.<br>SoHo<br>Manhattan,40.7238000000000,-74.0004000000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0386588/,"Greene and Spring Streets, SoHo"
Hudson Hawk,1991,Hudson%20Hawk,Michael Lehmann,http://imdb.com/name/nm0499724/,Brooklyn Bridge,40.7031065948382,-73.9931881427764,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0102070/,Brooklyn Bridge ramp on Brooklyn side
I Like It Like That,1994,I%20Like%20It%20Like%20That,Darnell Martin,http://imdb.com/name/nm0552140/,170th St. in Morrisania<br>The Bronx,40.8387004363497,-73.9137303829193,The Bronx,The Bronx,The Subway,Film,http://www.imdb.com/title/tt0110091/,170th Street in Morrisania
I Shot Andy Warhol,1996,I%20Shot%20Andy%20Warhol,Mary Harron,http://www.imdb.com/name/nm0366004/,W. 20th St. <br>Chelsea<br>Manhattan,40.7405346630455,-73.9930325746536,Manhattan,Chelsea,N/A,Film,http://www.imdb.com/title/tt0116594/,West 20th bet Fifth and Sixth Ave
Inside Man,2006,Inside%20Man,Spike Lee,http://www.imdb.com/name/nm0000490/,William St. and Wall St.<br>Lower Manhattan,40.7064000000000,-74.0095000000000,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0454848/,William Street toward Wall Street
It Could Happen to You,1994,It%20Could%20Happen%20to%20You,Andrew Bergman,http://imdb.com/name/nm0000921/,W. Broadway and N. Moore St.<br>TriBeCa<br>Manhattan,40.7197000000000,-74.0059000000000,Manhattan,TriBeCa,N/A,Film,http://www.imdb.com/title/tt0110167/,West Broadway and North Moore Street
Jeremy,1973,Jeremy,Arthur Barron,http://imdb.com/name/nm0057634/,Central Park<br>Manhattan,40.7747487271979,-73.9725083112716,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070238/,Central Park
Jumpin' at the Boneyard,1992,Jumpin%27%20at%20the%20Boneyard,Jeff Stanzler,http://imdb.com/name/nm0822863/,Burned-out blocks in the Bronx,40.8343820842596,-73.9199316501617,The Bronx,The Bronx,N/A,Film,http://imdb.com/title/tt0102174/,burned-out blocks in the Bronx
Jungle Fever,1991,Jungle%20Fever,Spike Lee,http://www.imdb.com/name/nm0000490/,Bensonhurst<br>Brooklyn,40.6019000000000,-73.9938000000000,Brooklyn,Brooklyn,New York Moments,Film,http://www.imdb.com/title/tt0102175/,Bensonhurst
Jungle Fever,1991,Jungle%20Fever,Spike Lee,http://www.imdb.com/name/nm0000490/,Strivers' Row<br>Harlem<br>Manhattan,40.8180396083858,-73.9442163705825,Manhattan,Harlem,N/A,Film,,"Strivers' Row, 138th st bet Powell and Douglass blvds"
Kids,1995,Kids,Larry Clark,http://imdb.com/name/nm0164187/,Washington Square Park<br>West Village<br>Manhattan,40.7310718953207,-73.9968627691268,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0113540/,Washington Square Park
Killer's Kiss,1957,Killer%27s%20Kiss,Stanley Kubrick,http://imdb.com/name/nm0000040/,Rooftops<br>Lower Manhattan,40.7082142493220,-74.0136587619781,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0048254/,Rooftops of lower Manhattan
King Kong,1976,King%20Kong,John Guillermin,http://imdb.com/name/nm0347086/,World Trade Center<br>Lower Manhattan,40.7125489417478,-74.0147799253463,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0074751/,World Trade Center
Kissing Jessica Stein,2001,Kissing%20Jessica%20Stein,Charles Herman-Wurmfeld,http://imdb.com/name/nm0379237/,E. 6th St.<br>East Village<br>Manhattan,40.7255000000000,-73.9840000000000,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0264761/,East 6th Street
Klute,1971,Klute,Alan J. Pakula,http://imdb.com/name/nm0001587/,World Trade Center<br>Lower Manhattan,40.7112640154449,-74.0112930536270,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0067309/,World Trade Center
Klute,1971,Klute,Alan J. Pakula,http://imdb.com/name/nm0001587/,Hell's Kitchen<br>Ninth Ave.<br>Manhattan,40.7616096837484,-73.9903128147125,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0067309/,Ninth Avenue in the 40s
Klute,1971,Klute,Alan J. Pakula,http://imdb.com/name/nm0001587/,123rd St.<br>Harlem<br>Manhattan,40.8009134398031,-73.9333695173263,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0067309/,123rd Street near First Avenue
Kojak,1973-1978,Kojak,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",60 Baxter St.<br>Lower Manhattan,40.7158470000000,-74.0005470000000,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center
Kojak,1973-1978,Kojak,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",Lincoln Center<br>Upper West Side<br>Manhattan,40.7724087537612,-73.9837628602981,Manhattan,Upper West Side,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center
Kramer vs. Kramer,1979,Kramer%20vs%2E%20Kramer,Robert Benton,http://imdb.com/name/nm0000914/,P.S. 6 (45 E. 81st St.)<br>Upper East Side<br>Manhattan,40.7775540000000,-73.9606940000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0079417/,P.S. 6 - Madison Avenue and 81st street
Law & Order,1988- Today,Law%20%26%20Order,"Dick Wolf,(more)","http://imdb.com/name/nm0937725/,http://imdb.com/title/tt0098844/fullcredits#writers",Worth St.<br>Lower Manhattan,40.7171000000000,-74.0063000000000,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0098844/,"2 locations:
- Central Park
- Worth Street"
