Film,Year,URL Encoded name,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator
State of Grace,1990,State%20of%20Grace,Phil Joanou,http://imdb.com/name/nm0423333/,Hell's Kitchen<br>Manhattan,40.7603744638357,-73.9912569522857,Manhattan,Upper West Side,N/A,Film,http://imdb.com/title/tt0100685/,Hell's Kitchen
Sugar Hill,1994,Sugar%20Hill,Leon Ichaso,http://imdb.com/name/nm0406687/,Edgecomb Ave.<br>Harlem<br>Manhattan,40.8294302441349,-73.9396405220031,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0107079/,"Edgecomb Avenue, Harlem"
Summer of Sam,1999,Summer%20of%20Sam,Spike Lee,http://www.imdb.com/name/nm0000490/,"CBGB's <br>315 Bowery (at Bleecker)<br>East Village, Manhattan",40.7250340000000,-73.9920670000000,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0162677/,CBGB's 315 Bowery
Sweet Home Alabama,2002,Sweet%20Home%20Alabama,Andy Tennant,http://imdb.com/name/nm0855035/,Tiffany & Co.<br>727 Fifth Ave.<br>Manhattan,40.7627961233669,-73.9738762378692,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0256415/,Tiffany & Co. - 727 Fifth Avenue at 57th Street
Sweet November,1968,Sweet%20November,Robert Ellis Miller,http://imdb.com/name/nm0589228/,Remsen St. and Montague Terrace<br>Brooklyn Heights<br>Brooklyn,40.6950000000000,-73.9977000000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0063661/,Brooklyn Height Promenade: Remsen St. and Montague Terrace
Sweet Smell of Success,1957,Sweet%20Smell%20of%20Success,Alexandre Mackenrick,http://imdb.com/name/nm0533241/,Manhattan ,40.7577983063470,-73.9755660295486,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0051036/,Manhattan 
Taxi Driver,1976,Taxi%20Driver,Martin Scorsese,http://imdb.com/name/nm0000217/,E. 12th St. and Third Ave.<br>East Village<br>Manhattan,40.7320000000000,-73.9882000000000,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0075314/,12th Street off Third Avenue
Taxi Driver,1976,Taxi%20Driver,Martin Scorsese,http://imdb.com/name/nm0000217/,Bellmore Cafeteria<br>Park Ave. South and E. 28th St.<br>Manhattan,40.7433500000000,-73.9840500000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0075314/,"Bellmore Cafeteria, Park Avenue South at 28th St"
Taxi Driver,1976,Taxi%20Driver,Martin Scorsese,http://imdb.com/name/nm0000217/,Columbus Ave. and E. 86th St.<br>Upper West Side<br>Manhattan,40.7865000000000,-73.9722000000000,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0075314/,Near Columbus Ave and 86th Street
The Anderson Tapes,1971,The%20Anderson%20Tapes,Sidney Lumet,http://imdb.com/name/nm0001486/,E. 91st St. and Fifth Ave.<br>Upper East Side<br>Manhattan,40.7847000000000,-73.9581000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0066767/,91st street and Fifth Avenue
The April Fools,1969,The%20April%20Fools,Stuart Rosenberg,http://imdb.com/name/nm0742341/,Marine Midlane Bank<br>140 Broadway<br>Lower Manhattan,40.7089720000000,-74.0105180000000,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0064036/,Marine Midlane Bank building 140 Broadway bet Liberty st and Ceder st
The April Fools,1969,The%20April%20Fools,Stuart Rosenberg,http://imdb.com/name/nm0742341/,Central Park<br>Manhattan,40.7732618786226,-73.9711081981658,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0064036/,Central Park near Naumberg Bandshell seating
The Basketball Diaries ,1995,The%20Basketball%20Diaries%20,Scott Kalvert,http://imdb.com/name/nm0436284/,Forest Hills,40.7294030000000,-73.8454550000000,Queens,Queens,New York Moments,Film,http://imdb.com/title/tt0112461/,N/A
The Bonfire of the Vanities,1990,The%20Bonfire%20of%20the%20Vanities,Brian De Palma,http://imdb.com/name/nm0000361/,E. 74th St. and Park Ave.<br>Upper East Side<br>Manhattan,40.7724500000000,-73.9629000000000,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0099165/,74th street and Park Avenue
The Brother from Another Planet,1984,The%20Brother%20from%20Another%20Planet,John Sayles,http://imdb.com/name/nm0000626/,Ellis Island<br>New York Harbor,40.6973640824354,-74.0411996841430,Manhattan,New York Harbor,N/A,Film,http://www.imdb.com/title/tt0087004/,New York Bay - Ellis Island
The Brothers McMullen,1995,The%20Brothers%20McMullen,Edward Burns,http://imdb.com/name/nm0122653/,W. 46th St. and Eighth Ave.<br>Midtown<br>Manhattan,40.7598000000000,-73.9879000000000,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0112585/,46th and 8th Avenue
The Cotton Club,1984,The%20Cotton%20Club,Francis Ford Coppola,http://imdb.com/name/nm0000338/,E. 6th St. between First Ave. & Ave. A<br>East Village<br>Manhattan,40.7259741250466,-73.9851897954940,Manhattan,East Village,N/A,Film,http://imdb.com/title/tt0087089/,6th St. between 1st Ave and Avenue A
The Cowboy Way,1994,The%20Cowboy%20Way,Gregg Champion,http://imdb.com/name/nm0150707/,Manhattan Bridge,40.7094016415368,-73.9918309450149,Manhattan,Lower Manhattan,Chases,Film,http://www.imdb.com/title/tt0109493/,Manhattan Bridge
The Devil's Advocate,1997,The%20Devil%27s%20Advocate,Taylor Hackford,http://www.imdb.com/name/nm0000431/,Chinatown<br>Manhattan,40.7150048711311,-73.9988690614700,Manhattan,Chinatown,Rooftops,Film,http://www.imdb.com/title/tt0118971/,Chinatown
The Fisher King,1991,The%20Fisher%20King,Terry Gilliam,http://imdb.com/name/nm0000416/,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.7527025841052,-73.9772665500640,Manhattan,Midtown,New York Landmarks,Film,http://www.imdb.com/title/tt0101889/,Grand Central Station - 42nd Street
The French Connection,1971,The%20French%20Connection,William Friedkin,http://imdb.com/name/nm0001243/,Bay 50th St. Station<br>Brooklyn,40.5886022710420,-73.9837574958801,Brooklyn,Brooklyn,Chases,Film,http://www.imdb.com/title/tt0067116/,86th Street from Bay 50th St. Station to 62nd St Station
The Godfather Part II,1974,The%20Godfather%20Part%20II,Francis Ford Coppola,http://www.imdb.com/name/nm0000338/,E. 6th St. and Ave. A<br>East Village<br>Manhattan,40.72539684,-73.98378432,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0071562/,
The Honeymooners,1955-1956,The%20Honeymooners,Frank Satenstein,http://imdb.com/name/nm0766129/,358 Chauncy St.<br>Bensonhurst<br>Brooklyn,40.6815010000000,-73.9187530000000,Brooklyn,Brooklyn,N/A,TV,http://www.imdb.com/title/tt0042114/,"358 Chauncy Street, Bensonhurst"
The Hours,2002,The%20Hours,Stephen Daldry,http://imdb.com/name/nm0197636/,W. 14th St. and Hudson St.<br>West Village<br>Manhattan,40.7405915656527,-74.0054619312286,Manhattan ,West Village,N/A,Film,http://imdb.com/title/tt0274558/,Greenwich Village flower shop
The Interpreter,2005,The%20Interpreter,Sydney Pollack,http://imdb.com/name/nm0001628/,United Nations<br>First Ave. and E. 45th St.<br>Manhattan,40.7506706880159,-73.9679539203643,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0373926/,United nations
The Landlord,1970,The%20Landlord,Hal Ashby,http://imdb.com/name/nm0000797/,51 Prospect Pl.<br>Brooklyn,40.6796209846076,-73.9760380983352,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue"
The Landlord,1970,The%20Landlord,Hal Ashby,http://imdb.com/name/nm0000797/,51 Prospect Pl.<br>Brooklyn,40.6797280000000,-73.9759740000000,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0065963/,"51 Prospect Place, off Sixth Avenue"
The Late Show with David Letterman,1993-?,The%20Late%20Show%20with%20David%20Letterman,"Jerry Foley,Randi Grossack,(more)","http://imdb.com/name/nm0284159/,http://www.imdb.com/name/nm0343522/,http://www.imdb.com/title/tt0106053/fullcredits#directors",Ed Sullivan Theatre<br>1697 Broadway<br>Manhattan,40.7637190000000,-73.9828330000000,Manhattan,Midtown,N/A,TV,http://www.imdb.com/title/tt0106053/,1697 Broadway
The Lost Weekend,1945,The%20Lost%20Weekend,Billy Wilder,http://imdb.com/name/nm0000697/,Third Ave. from E. 55th to 110th St.<br>Upper East Side to E. Harlem<br>Manhattan,40.7590000000000,-73.9685000000000,Manhattan,Upper East Side,N/A,Film,http://imdb.com/title/tt0037884/,"Third Avenue from 55th to 110th Street,"
The Naked City,1948,The%20Naked%20City,Jules Dassin,http://imdb.com/name/nm0202088/,Williamsburg Bridge<br>Brooklyn,40.7113209430845,-73.9645743370056,Brooklyn,Brooklyn,N/A,Film,http://imdb.com/title/tt0040636/,Williamsburg Bridge
The Night They Raided Minsky's ,1968,The%20Night%20They%20Raided%20Minsky%27s%20,William Friedkin,http://imdb.com/name/nm0001243/,"E. 26th St. near Second Ave.<br>Manhattan
",40.7397010000000,-73.9789350000000,Manhattan,Midtown,Historic Recreations,Film,http://www.imdb.com/title/tt0063348/,26th Street bet First and Second Aves.
